Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Davis Martin,CHW,SP,FA,28,,-28.19074828,-34.67327803,,6,11,4.50849,1.37166,24,0,0,0,123,108,7.86309,3.33578,0.295839,4.52933
Joey Estes,ATH,P,FA,23,,-27.46377168,-33.78485823,,5,6,4.94663,1.28636,33,0,1,1,105,79,6.72044,2.36392,0.278966,5.09499
Fernando Cruz,NYY,RP,FA,34,,4.324983643,5.063378739,,4,0,3.25185,1.20781,61,0,13,13,61,83,12.2263,3.95882,0.290101,3.2392
Matt Waldron,SD,SP,FA,28,,-18.0943009,-22.33466406,,4,5,4.51275,1.28683,21,0,1,1,80,66,7.41042,2.5819,0.287658,4.53826
Casey Mize,DET,SP,FA,27,,-16.59952827,-20.50794009,,6,11,4.23543,1.28681,23,0,0,0,118,94,7.17661,2.53638,0.291424,4.2472
Albert Suarez,BAL,SP,FA,35,,-16.49140254,-20.37580236,,4,2,4.34476,1.33192,59,0,5,5,81,70,7.8735,2.7713,0.296796,4.42399
Clay Holmes,NYM,RP,FA,31,,-3.355525734,-4.322778264,,13,12,3.60743,1.3396,49,0,1,1,164,148,8.09309,3.17046,0.307912,3.55403
Kirby Yates,LAD,RP,FA,37,,3.303721857,3.81532044,,5,0,3.58928,1.24555,60,9,11,20,60,73,10.9162,4.34049,0.285507,3.78466
Randy Vasquez,SD,SP,FA,26,,-17.94002111,-22.14612262,,4,4,4.44284,1.34138,25,0,1,1,65,50,6.88846,3.00385,0.288145,4.58447
Aroldis Chapman,BOS,RP,FA,37,,6.323484775,7.505696621,,5,0,3.23513,1.28291,63,12,9,21,63,93,13.3188,5.10156,0.30072,3.2402
Ryan Thompson,ARI,RP,FA,32,,-3.830141463,-4.902794188,,5,0,3.69037,1.28508,63,0,13,13,63,51,7.24185,2.64729,0.302083,3.76746
Mark Leiter Jr.,NYY,RP,FA,33,,-3.870895952,-4.952599222,,3,0,3.90964,1.23135,58,0,12,12,58,67,10.4698,3.44346,0.289009,3.9439
Tyler Alexander,MIL,RP,FA,30,,-14.84906402,-18.36874183,,3,1,4.5211,1.25182,52,0,4,4,59,49,7.41324,1.94818,0.288639,4.6061
Will Vest,DET,RP,FA,29,,0.42614821,0.298710185,,3,0,3.38992,1.2094,68,2,12,14,68,66,8.75908,2.80313,0.292315,3.40078
Colin Rea,CHC,SP,FA,34,,-23.61578367,-29.08232904,,6,8,4.53009,1.30203,31,0,1,1,122,97,7.12461,2.45625,0.292594,4.50238
Jordan Montgomery,ARI,SP,FA,32,,-17.06278087,-21.07406941,,7,7,4.06928,1.34264,42,0,1,1,117,93,7.1635,2.74037,0.303196,4.03732
Pete Fairbanks,TB,RP,FA,31,,6.501986836,7.723839491,,4,0,3.46473,1.22209,60,22,7,29,60,67,10.0373,3.38715,0.29344,3.44609
Kris Bubic,KC,RP,FA,27,,-13.65561344,-16.91025595,,7,8,4.06651,1.32497,42,0,1,1,115,109,8.56912,3.20058,0.300468,3.96429
Ryan Pressly,CHC,RP,FA,36,,6.963795276,8.288203952,,3,0,3.37855,1.2028,61,25,5,30,61,63,9.32461,2.69159,0.298447,3.35288
Cole Sands,MIN,RP,FA,27,,1.365953635,1.447222717,,4,0,3.66065,1.19551,64,1,15,16,64,70,9.81347,2.80438,0.29386,3.63447
Camilo Doval,SF,RP,FA,27,,5.801145105,6.86735847,,5,0,3.30919,1.25412,62,10,12,22,62,75,10.9514,4.14128,0.295736,3.28528
Kyle Hendricks,LAA,RP,FA,35,,-43.50804458,-53.39215992,,6,10,5.12591,1.42093,24,0,0,0,127,89,6.33318,2.65516,0.300286,5.02539
Keegan Akin,BAL,RP,FA,29,,5.588416681,6.607388423,,3,0,3.42322,1.14513,70,2,16,18,70,79,10.2067,2.47604,0.292213,3.44505
Clayton Kershaw,LAD,SP,FA,36,,-6.335583966,-7.964632348,,5,7,3.80896,1.2198,13,0,0,0,68,63,8.36383,2.41061,0.292645,3.86717
Drew Thorpe,CHW,SP,FA,24,,-26.82992277,-33.01024745,,5,7,4.75671,1.38218,16,0,0,0,86,68,7.06965,3.24206,0.289411,4.78752
Andrew Kittredge,BAL,RP,FA,34,,-0.907152251,-1.330682716,,5,0,3.75931,1.226,66,2,13,15,66,61,8.25806,2.40768,0.294671,3.93694
Trevor Williams,WSH,SP,FA,32,,-26.0217843,-32.02264178,,6,6,4.53079,1.36631,53,0,1,1,113,90,7.21598,2.84205,0.296204,4.60646
Kevin Kelly,TB,RP,FA,27,,-4.547874667,-5.779917854,,3,0,3.63641,1.18231,53,0,5,5,53,47,8.03265,2.21506,0.294965,3.67715
Ryan Fernandez,STL,P,FA,26,,-3.221058228,-4.158448913,,4,0,3.76201,1.29894,65,1,16,17,65,64,8.86101,3.51051,0.293281,3.80402
Chris Paddack,MIN,SP,FA,29,,-13.10785806,-16.2408579,,7,7,4.22043,1.27089,55,0,1,1,124,115,8.31316,2.26953,0.302102,3.9498
Keider Montero,DET,SP,FA,24,,-17.53378504,-21.64967175,,2,1,4.32865,1.3165,20,0,1,1,34,29,7.68917,3.08371,0.287394,4.42895
Carlos Estevez,KC,RP,FA,32,,3.770521686,4.38578475,,5,0,3.8651,1.24002,64,21,6,27,64,63,8.80177,3.14041,0.287611,3.80782
David Robertson,(N/A),RP,FA,39,,-3.198342169,-4.130688189,,4,0,3.49063,1.21752,57,0,0,0,57,70,11.0243,3.68972,0.293145,3.40605
Bubba Chandler,PIT,SP,FA,22,,-24.10447025,-29.6795406,,4,7,4.50684,1.39376,15,0,0,0,75,65,7.78752,3.65135,0.294282,4.54436
