Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Gerrit Cole,11,17,3.82317,31,0,0,0,183,191,9.39602,2.49118,
Hunter Greene,9,16,3.8982,29,0,0,0,169,195,10.3837,3.18612,
Shane McClanahan,11,15,3.34475,34,0,1,1,159,172,9.73801,2.45083,
Joe Ryan,10,15,3.76864,28,0,0,0,158,172,9.79533,2.06634,
Roki Sasaki,11,14,3.47967,24,0,0,0,135,169,11.3185,2.65697,
Spencer Strider,9,13,3.24536,21,0,0,0,119,159,12.0372,2.82404,
Justin Steele,10,17,3.4591,29,0,0,0,166,159,8.60379,2.46876,
Tanner Houck,11,15,3.89899,40,0,1,1,178,160,8.07527,2.73088,
Ranger Suárez,11,15,3.61999,40,0,1,1,166,149,8.08055,2.81617,
Shota Imanaga,11,17,3.57509,29,0,0,0,172,174,9.09363,1.98598,
Luis Castillo,12,18,3.56023,31,0,0,0,181,184,9.15104,2.5604,
Hunter Brown,12,16,3.70994,29,0,0,0,166,171,9.28281,3.17212,
Freddy Peralta,11,17,3.76448,31,0,0,0,171,195,10.2546,3.30188,
Yusei Kikuchi,10,16,3.92241,31,0,0,0,169,189,10.0662,2.8724,
Spencer Schwellenbach,12,16,3.71006,29,0,0,0,165,159,8.67197,2.07616,
Seth Lugo,11,17,3.98072,31,0,0,0,188,161,7.69794,2.49985,
Brandon Woodruff,9,15,3.61308,26,0,0,0,153,170,9.95324,2.52945,
Zach Eflin,11,16,3.83384,29,0,0,0,174,145,7.48575,1.54103,
MacKenzie Gore,10,17,3.85658,31,0,0,0,167,178,9.60836,3.38785,
Nick Martinez,10,11,3.99469,49,0,1,1,168,143,7.6981,2.30618,
Nathan Eovaldi,10,15,3.99059,29,0,0,0,172,163,8.54047,2.38883,
Brayan Bello,11,15,4.09139,29,0,0,0,163,150,8.26808,3.21534,
Carlos Rodón,12,16,4.00793,31,0,0,0,171,191,10.0401,2.8405,
Zac Gallen,12,16,3.68876,29,0,0,0,170,167,8.87279,2.8113,
Tanner Bibee,10,16,3.68112,29,0,0,0,167,171,9.20215,2.52447,
Grayson Rodriguez,10,16,3.73069,28,0,0,0,157,168,9.59397,2.80261,
Clay Holmes,13,12,3.60731,49,0,1,1,164,148,8.0931,3.17043,
Jared Jones,9,14,3.89985,36,0,1,1,159,162,9.18346,2.90942,
Mitch Keller,10,16,4.13665,31,0,0,0,180,163,8.13003,2.72205,
Kodai Senga,10,14,3.65127,34,0,1,1,160,173,9.72194,3.83057,
Jack Flaherty,11,16,3.7959,29,0,0,0,164,178,9.77149,2.86522,
Bailey Ober,10,15,3.97888,29,0,0,0,167,171,9.23663,2.17678,
Brady Singer,9,14,4.53533,29,0,0,0,167,159,8.61671,2.65985,
Nick Lodolo,8,12,4.24187,24,0,0,0,132,144,9.82653,2.94824,
Germán Márquez,8,13,4.67655,28,0,0,0,156,129,7.44256,3.0456,
Nick Pivetta,10,14,4.04053,28,0,0,0,154,171,10.0281,2.88678,
Bryce Miller,10,17,3.76855,31,0,0,0,172,162,8.49135,2.37088,
Drew Rasmussen,9,10,3.32966,43,0,1,1,125,121,8.70035,2.23024,
Yu Darvish,11,15,4.10284,29,0,0,0,164,156,8.52479,2.4609,
José Soriano,9,14,3.97504,26,0,0,0,146,142,8.73672,3.86034,
Clarke Schmidt,9,11,3.96808,41,0,1,1,146,145,8.95834,2.97195,
Nestor Cortes,9,10,3.75011,44,0,1,1,144,144,9.04385,2.34269,
Brandon Pfaadt,9,11,3.91253,33,0,1,1,138,136,8.88352,2.10907,
Jesús Luzardo,10,12,4.14657,41,0,1,1,158,163,9.28897,3.09798,
Chris Bassitt,11,16,4.09032,31,0,0,0,177,161,8.19078,3.06556,
Shohei Ohtani,9,12,3.6314,21,0,0,0,123,137,10.0938,3.19533,
Michael Wacha,9,14,4.18041,28,0,0,0,155,132,7.64342,2.64804,
Mason Miller,4,0,2.69784,67,30,2,32,67,98,13.1836,3.12342,
Taj Bradley,10,15,4.06757,29,0,0,0,159,164,9.2759,2.95557,
Reese Olson,8,14,3.90371,26,0,0,0,134,124,8.29586,3.00561,
Jhoan Duran,7,0,2.5771,65,22,5,27,65,81,11.2114,2.80763,
Max Scherzer,8,11,3.76262,27,0,1,1,122,127,9.36344,2.20067,
Eduardo Rodriguez,10,12,3.84807,32,0,1,1,143,132,8.30608,2.82654,
José Berríos,12,17,4.18313,32,0,0,0,194,167,7.75468,2.47626,
