Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
José Buttó,3,0,3.69656,1.24186,63,1,16,17,63,67,9.51854,3.57744,0.281421,3.88504
José Cisnero,1,0,4.33799,1.37776,24,0,0,0,24,25,9.23459,4.00893,0.296084,4.37058
Jose Cuas,0,0,4.56373,1.42039,10,0,1,1,10,10,8.61475,4.17896,0.294039,4.687
Jose E. Hernandez,1,0,4.32586,1.3864,13,0,1,1,13,12,8.64824,4.00362,0.288829,4.58861
José Leclerc,4,0,3.90274,1.28863,64,3,13,16,64,74,10.4517,4.27115,0.284165,3.90436
José Quijada,3,0,4.01447,1.33431,62,0,12,12,62,72,10.4174,4.67954,0.287799,3.97872
Jose Quintana,8,12,4.30568,1.39977,24,0,0,0,131,108,7.3663,3.52164,0.295678,4.43334
José Ruiz,3,0,4.27424,1.33133,62,0,10,10,62,61,8.87737,3.56728,0.292451,4.25817
José Soriano,9,14,3.97504,1.33194,26,0,0,0,146,142,8.73672,3.86034,0.295584,4.04356
José Suarez,3,1,4.19055,1.30804,62,0,10,10,69,67,8.73487,3.2418,0.294213,4.16342
José Ureña,1,0,4.6233,1.39078,17,0,1,1,17,13,6.67195,3.25297,0.291204,4.64768
Josh Ekness,1,0,4.5762,1.45486,18,0,1,1,18,16,8.03665,4.2651,0.296659,4.66806
Josh Hader,6,0,3.10286,1.08382,68,33,2,35,68,96,12.7273,3.46523,0.278814,3.11895
Josh Sborz,2,0,3.78683,1.27326,38,3,1,4,38,42,9.83591,3.52387,0.295,3.60044
Josh Simpson,2,0,4.14069,1.40612,33,0,1,1,33,35,9.62233,4.54417,0.298294,4.26136
Josh Staumont,1,0,4.39222,1.3984,28,0,1,1,28,28,9.01771,4.61202,0.286088,4.32433
Josh Walker,2,0,3.9118,1.32173,39,0,1,1,39,39,9.04989,3.71571,0.289156,4.01406
Josh Winckowski,3,0,3.99566,1.32803,55,0,7,7,55,46,7.60096,2.7941,0.305096,3.91631
Josiah Gray,1,1,4.76615,1.35373,10,0,1,1,17,15,8.23036,3.56583,0.281407,4.93177
JP Sears,10,14,4.54941,1.28613,31,0,0,0,176,145,7.3842,2.60365,0.284107,4.77112
JT Brubaker,3,1,4.41948,1.29285,44,0,1,1,50,48,8.60036,2.84881,0.292189,4.43002
JT Chargois,1,0,4.10368,1.31981,24,0,1,1,24,22,8.24055,3.62792,0.286822,4.37767
Juan Mejia,1,0,5.19867,1.56237,22,0,1,1,22,19,7.80245,4.68288,0.306443,5.07241
Juan Nuñez,0,0,4.99313,1.5491,10,0,1,1,10,8,7.36713,5.11533,0.284966,5.35232
Julian Merryweather,3,0,3.74435,1.279,52,0,4,4,52,58,10.052,3.68626,0.291781,3.73363
