Name,OriginalSalary,AdjustedSalary,AuctionSalary
Jimmy Herget ,-20.03287611,-24.70374798,
Carson Spiers ,-20.16469299,-24.86483806,
Emerson Hancock ,-20.30526164,-25.03662347,
Jared Shuster ,-20.34411816,-25.08410905,
Eduardo Salazar ,-20.3469459,-25.08756476,
Gunnar Hoglund ,-20.47736223,-25.24694327,
Charlie Morton ,-20.63449115,-25.43896656,
Cole Henry ,-20.70899919,-25.53002096,
Jake Bird ,-21.04723822,-25.94337436,
Michael Mercado ,-21.11254958,-26.02318973,
Lance Lynn ,-21.18471972,-26.11138704,
Bryce Jarvis ,-21.35128418,-26.31494127,
Ian Anderson ,-21.37737357,-26.34682445,
Jordan Hicks ,-21.43807324,-26.42100398,
Paul Blackburn ,-21.4452906,-26.42982414,
Jaden Hill ,-21.61683436,-26.63946345,
Tanner Gordon ,-21.64898818,-26.67875782,
Mitchell Parker ,-21.70713968,-26.7498233,
Sam Bachman ,-21.9000603,-26.98558673,
Luis Severino ,-21.97959684,-27.73353923,3
Alex Wood ,-21.98915023,-27.09446129,
Griffin Canning ,-22.03700735,-27.15294627,
Michael Soroka ,-22.27513503,-27.44395612,
Mitch Spence ,-22.36284681,-27.55114647,
Luis L. Ortiz ,-22.65745618,-27.91118115,
Luis Peralta ,-22.65854562,-27.91251253,
Andre Pallante ,-22.88872304,-28.19380656,
Jake Irvin ,-22.89428022,-28.20059784,
Miles Mikolas ,-22.93842781,-28.25454951,
Brett de Geus ,-23.11736614,-28.47322553,
Lucas Gilbreath ,-23.21446076,-28.59188242,
Andrew Abbott ,-23.34325763,-28.74928184,
Colin Rea ,-23.61578367,-29.08232904,
Taijuan Walker ,-23.65257638,-29.12729249,
Brady Singer ,-23.71705067,-29.20608489,
Max Meyer ,-23.76398086,-29.26343709,
Ryan Weathers ,-24.05459802,-29.618593,
Bubba Chandler ,-24.10447025,-29.6795406,
Tanner Rainey ,-24.16627437,-29.75506985,
Wade Miley ,-24.32005474,-29.94300097,
Javier Assad ,-24.36574649,-29.99883971,
JP Sears ,-24.39642424,-30.03633021,
Noah Murdock ,-24.70474364,-30.41311958,
J.T. Ginn ,-24.71469345,-30.425279,
Caden Dana ,-25.34401323,-31.19435484,
Valente Bellozo ,-25.36402665,-31.21881274,
Bailey Falter ,-25.62660288,-31.53970053,
Marcus Stroman ,-25.66736298,-31.58951242,
Trevor Williams ,-26.0217843,-32.02264178,
Tomoyuki Sugano ,-26.48674116,-32.59085385,
Jose Quintana ,-26.72572803,-32.88291368,
Drew Thorpe ,-26.82992277,-33.01024745,
Rhett Lowder ,-26.97526074,-34.15719417,3
Kyle Gibson ,-27.17501328,-33.43197387,
Joey Estes ,-27.46377168,-33.78485823,
Jack Leiter ,-27.87997552,-34.29349046,
Davis Martin ,-28.19074828,-34.67327803,
Bradley Blalock ,-28.52468201,-35.08137003,
Ben Lively ,-28.71699157,-35.31638669,
Jairo Iriarte ,-29.16161592,-35.85975091,
Kyle Hart ,-29.72004315,-36.54219076,
Simeon Woods Richardson ,-29.92573279,-36.79355888,
Jackson Jobe ,-29.96650119,-38.03469848,7.5
Sean Burke ,-30.40108216,-37.37447137,
Evan Justice ,-31.6298751,-38.87614827,
Jack Kochanowicz ,-31.73900556,-39.00951385,
Bryse Wilson ,-32.11197787,-39.46531391,
Luis Mey ,-33.79042346,-41.51649998,
Chase Dollander ,-34.15983319,-41.9679463,
Patrick Corbin ,-34.47382436,-42.351667,
Shinnosuke Ogasawara ,-34.73480256,-42.67060189,
Tyler Anderson ,-35.75719912,-43.92004696,
Michael Lorenzen ,-35.9986542,-44.21512313,
German Marquez,-36.09845234,-44.33708392,
Triston McKenzie ,-37.08256836,-45.53974732,
