Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Brent Suter,CIN,RP,FA,35,,-16.32031322,-20.1667184,,3,0,4.42376,63,0,11,11,63,49,7.02466,2.78114
Hoby Milner,TEX,RP,FA,34,,-6.145166741,-7.731928254,,3,0,3.91769,58,0,11,11,58,53,8.18652,2.41133
Dane Dunning,TEX,SP,FA,30,,-14.48942869,-17.92924055,,4,1,4.30801,63,0,5,5,78,71,8.19647,2.99552
Justin Slaten,BOS,P,FA,27,,-6.74222627,-8.461579661,,4,0,3.91813,64,0,13,13,64,67,9.42407,3.32039
Jose Butto,NYM,RP,FA,26,,-1.715688701,-2.318774741,,3,0,3.69643,63,1,16,17,63,67,9.51859,3.57749
Chris Martin,TEX,RP,FA,38,,9.087714923,10.88379264,,4,0,3.37252,58,20,6,26,58,58,9.01643,1.64429
Phil Maton,(N/A),RP,FA,31,,-13.62186355,-16.86901106,,3,0,4.23751,56,0,0,0,56,54,8.66622,3.4119
Colin Holderman,PIT,RP,FA,29,,-5.306369963,-6.706855845,,4,0,3.89101,62,3,13,16,62,63,9.07418,3.72918
Kyle Finnegan,WSH,RP,FA,33,,-1.722741129,-2.327393335,,4,0,3.96784,64,22,6,28,64,61,8.60006,3.34693
Antonio Senzatela,COL,SP,FA,30,,-50.06594781,-61.40640823,,6,8,5.06593,42,0,1,1,135,85,5.65706,2.60992
