Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Alex Verdugo,(N/A),OF,FA,28,,-18.09730433,-22.33833447,,81,350,317,81,8,42,37,27,2,2,0.254745
Jake Rogers,DET,C,FA,29,,-12.96481624,-16.06605008,,97,384,348,74,14,44,45,29,4,2,0.211929
Trevor Larnach,MIN,OF,FA,28,,-5.679451984,-7.162789983,,109,469,411,99,16,59,60,50,4,3,0.241163
Gabriel Moreno,ARI,C,FA,25,,3.721259299,4.325582428,,128,507,449,127,10,58,59,49,4,6,0.282865
Ivan Herrera,STL,C,FA,24,,-8.210733078,-10.25620483,,100,398,343,87,9,48,43,46,5,6,0.254032
MJ Melendez,KC,"OF,UT",FA,26,,-4.602119006,-5.846208494,,113,490,437,103,19,58,61,47,3,5,0.235405
Jeff McNeil,NYM,"2B,OF",FA,32,,-5.764377663,-7.266575516,,123,532,481,128,10,60,55,35,11,5,0.265819
Hunter Renfroe,KC,OF,FA,33,,-16.43806587,-20.31062096,,86,371,336,80,13,41,45,30,2,1,0.237414
Otto Lopez,MIA,2B,FA,26,,-6.713123395,-8.426013771,,112,483,444,122,6,54,46,31,4,16,0.275458
Jhonkensy Noel,CLE,"OF,UT",FA,23,,-17.07973859,-21.09479302,,78,336,306,68,15,39,47,22,6,1,0.222689
Jacob Wilson,ATH,SS,FA,22,,1.410579942,1.501759402,,128,553,507,145,9,71,59,32,7,4,0.286558
LaMonte Wade Jr.,SF,1B,FA,31,,-9.288136589,-11.57287252,,113,490,412,100,14,62,47,67,6,3,0.241833
Jorge Polanco,SEA,2B,FA,31,,-7.088525271,-8.884782946,,126,546,482,108,19,60,62,56,4,5,0.224439
Masataka Yoshida,BOS,UT,FA,31,,-8.785271311,-10.95833353,,92,399,359,102,11,47,50,30,7,3,0.282644
Chas McCormick,HOU,OF,FA,29,,-6.504452426,-8.171002237,,104,448,399,96,14,53,54,36,7,13,0.241134
Patrick Bailey,SF,C,FA,25,,-6.395443092,-8.037784677,,128,506,455,108,12,54,52,42,3,4,0.236379
Brayan Rocchio,CLE,SS,FA,24,,-5.144520738,-6.509063985,,130,560,496,120,10,67,56,50,8,13,0.242784
Mitch Garver,SEA,C,FA,34,,-19.61241489,-24.18991292,,78,323,279,57,12,33,36,37,4,0,0.20339
Jake Fraley,CIN,OF,FA,29,,-4.882423837,-6.188761965,,104,448,398,101,12,51,51,42,5,19,0.254012
Starling Marte,NYM,OF,FA,36,,-19.42229528,-23.95757253,,63,273,248,65,6,34,30,17,5,11,0.263518
Mike Tauchman,CHW,OF,FA,34,,-14.87334508,-18.3984151,,92,399,340,83,9,53,35,51,4,7,0.243814
Josh Smith,TEX,"3B,SS",FA,27,,-16.65473121,-20.5754022,,87,378,330,81,9,45,40,34,10,6,0.244784
Alejandro Kirk,TOR,C,FA,26,,-7.633148384,-9.550353131,,110,436,385,103,10,42,49,43,4,1,0.266804
Ty France,MIN,1B,FA,30,,-12.46183147,-15.45136507,,100,434,385,100,11,48,48,30,14,1,0.258639
Blake Perkins,MIL,OF,FA,28,,-26.08174503,-32.09591828,,58,252,221,50,5,29,24,26,2,10,0.226902
Jesse Winker,NYM,OF,FA,31,,-12.38372141,-15.35590874,,99,427,360,87,11,50,46,57,7,7,0.240788
Jared Triolo,PIT,"2B,3B",FA,27,,-29.11818194,-35.80667133,,55,238,211,51,4,25,23,23,2,5,0.244153
Noelvi Marte,CIN,3B,FA,23,,-32.49857513,-39.93776468,,36,154,142,34,4,17,16,9,1,5,0.241933
Harrison Bader,MIN,OF,FA,30,,-12.54925456,-15.55820264,,87,378,348,84,10,44,42,21,5,16,0.240776
Griffin Conine,MIA,OF,FA,27,,-22.76311294,-28.04030162,,75,322,288,64,11,34,38,28,3,0,0.220671
Jose Miranda,MIN,3B,FA,26,,-13.62328456,-16.87074763,,89,385,355,95,10,42,47,22,5,2,0.267425
Oswaldo Cabrera,NYY,3B,FA,26,,-14.01237837,-17.34624938,,91,392,356,86,11,47,45,29,3,7,0.241152
Mauricio Dubon,HOU,"1B,2B,OF",FA,30,,-18.82130448,-23.22311681,,81,350,327,87,6,40,36,16,3,4,0.264518
Ernie Clement,TOR,"3B,SS",FA,28,,-19.51868515,-24.07536816,,71,308,289,77,7,34,35,13,2,6,0.26443
Derek Hill,MIA,OF,FA,29,,-21.57554316,-26.58900251,,63,273,251,63,7,32,31,16,2,7,0.252245
Daniel Schneemann,CLE,"SS,OF",FA,28,,-36.28243512,-44.56192464,,31,133,117,26,3,14,13,14,1,2,0.220889
Freddy Fermin,KC,C,FA,29,,-18.99909118,-23.44038546,,70,275,249,63,7,30,30,21,2,1,0.253303
Ramon Laureano,BAL,OF,FA,30,,-27.43770696,-33.75300519,,47,203,184,43,6,24,25,13,5,5,0.235526
Brendan Rodgers,HOU,2B,FA,28,,-18.91151952,-23.33336635,,83,357,328,83,9,40,40,23,3,1,0.253918
Joey Bart,PIT,C,FA,28,,-11.09515497,-13.78118415,,96,379,340,82,12,43,44,30,7,1,0.240016
David Hamilton,BOS,"2B,SS",FA,27,,-36.94323278,-45.36946882,,18,77,69,16,2,10,8,7,0,6,0.228469
Anthony Rizzo,(N/A),1B,FA,35,,-24.75748821,-30.47757739,,68,294,259,59,9,32,33,25,8,1,0.229925
Brandon Drury,CHW,2B,FA,32,,-28.03172824,-34.47894363,,58,252,230,53,8,26,28,17,3,1,0.22988
Wenceel Perez,DET,"OF,UT",FA,25,,-17.21789664,-21.26363248,,87,378,342,82,7,44,39,31,3,9,0.239144
Gavin Sheets,SD,"1B,OF",FA,28,,-38.43276106,-47.1897838,,19,84,76,18,2,8,9,7,1,0,0.234845
Max Kepler,PHI,OF,FA,32,,-4.502104469,-5.723983248,,117,504,453,109,18,60,61,41,6,3,0.239826
Geraldo Perdomo,ARI,SS,FA,25,,-2.622803229,-3.427336551,,131,567,486,121,8,74,53,62,6,16,0.25002
Eloy Jimenez,TB,UT,FA,28,,-28.93147517,-35.57850169,,44,189,174,46,6,20,24,13,1,1,0.263425
Leody Taveras,TEX,OF,FA,26,,-15.36584479,-19.00028659,,78,336,305,77,8,40,37,26,1,13,0.251382
Tyler Black,MIL,UT,FA,24,,-24.47754489,-30.13546571,,60,259,224,51,6,31,29,29,5,9,0.228979
Enrique Hernandez,LAD,"3B,OF",FA,33,,-24.46613899,-30.12152685,,68,294,267,62,8,33,34,22,2,1,0.230983
Richie Palacios,TB,"2B,OF",FA,27,,-19.63378101,-24.21602392,,78,336,289,70,6,41,33,39,5,11,0.240679
Jonah Bride,MIA,1B,FA,29,,-18.96805857,-23.4024613,,91,392,334,79,9,42,44,48,6,1,0.237726
Hunter Goodman,COL,"C,OF",FA,25,,-9.294094889,-11.58015401,,78,326,300,72,15,39,48,19,4,2,0.238024
Kyle Higashioka,TEX,C,FA,34,,-15.080117,-18.65110586,,81,322,297,64,14,34,43,20,1,2,0.215216
Victor Scott,STL,OF,FA,24,,-24.0523575,-29.61585491,,63,273,248,57,4,30,25,17,3,16,0.229647
Yoan Moncada,LAA,3B,FA,29,,-9.689515504,-12.06338758,,120,518,465,113,13,56,54,46,4,4,0.243751
Mark Canha,MIL,"1B,OF",FA,36,,-33.44976562,-41.10019062,,36,154,132,32,3,17,15,15,5,2,0.242025
Nick Fortes,MIA,C,FA,28,,-17.35280084,-21.42849551,,89,352,321,75,8,36,35,20,6,3,0.23422
Paul DeJong,WSH,"3B,SS",FA,31,,-22.20584186,-27.35927467,,79,343,313,66,14,36,39,21,5,2,0.21006
Connor Joe,SD,"1B,OF",FA,32,,-24.06167527,-29.62724192,,73,315,274,63,8,36,30,34,5,2,0.229699
Wilmer Flores,SF,1B,FA,33,,-22.99212527,-28.32017182,,71,308,274,65,9,34,36,27,4,0,0.238188
Miguel Vargas,CHW,"3B,OF",FA,25,,-8.018070547,-10.02075681,,115,497,430,99,15,61,52,57,6,9,0.230857
Isiah Kiner-Falefa,PIT,"2B,3B,SS",FA,29,,-6.334922928,-7.96382451,,128,553,512,134,7,58,50,28,8,15,0.262726
Jose Siri,NYM,OF,FA,29,,-9.689187885,-12.0629872,,96,413,377,79,17,51,53,27,5,14,0.210239
Zach McKinstry,DET,"3B,SS,OF",FA,29,,-30.69290935,-37.73110602,,47,203,183,43,4,22,18,16,2,7,0.233257
Luis Campusano,SD,C,FA,26,,-12.85483732,-15.93164762,,81,322,296,75,10,38,40,21,3,1,0.254213
Drew Waters,KC,OF,FA,26,,-36.51888919,-44.8508892,,19,84,75,18,2,11,9,7,1,3,0.236977
