Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Christian Vázquez,76,301,279,65,5,29,29,17,2,2,0.234785
Chase Meidroth,68,294,247,61,4,35,25,40,5,4,0.245746
Trey Sweeney,81,350,315,70,9,40,36,29,3,9,0.222999
Andrew Vaughn,144,623,568,145,23,66,80,43,8,1,0.25498
Isiah Kiner-Falefa,128,553,512,134,7,58,50,28,8,15,0.262726
Alek Thomas,71,308,283,72,8,38,37,20,2,7,0.254982
Keibert Ruiz,122,480,446,112,15,49,57,25,5,3,0.251453
Dillon Dingler,60,237,214,48,7,26,28,17,4,2,0.226203
Harrison Bader,87,378,348,84,10,44,42,21,5,16,0.240776
Gavin Lux,113,490,434,112,11,61,51,49,3,6,0.25823
Jordan Walker,131,567,515,128,18,59,68,41,6,7,0.249374
Miguel Amaya,83,326,289,69,9,34,38,26,7,1,0.240163
Gio Urshela,89,385,359,96,8,37,40,21,2,1,0.267419
Matt Vierling,110,476,431,109,11,56,47,38,4,6,0.25295
Edouard Julien,71,308,261,60,8,38,31,43,2,5,0.22819
Christian Moore,65,280,260,67,10,42,36,17,1,3,0.257329
Joey Bart,96,379,340,82,12,43,44,30,7,1,0.240016
Kristian Campbell,55,238,210,56,6,31,31,23,4,6,0.265673
Jesse Winker,99,427,360,87,11,50,46,57,7,7,0.240788
Nick Fortes,89,352,321,75,8,36,35,20,6,3,0.23422
Josh Rojas,79,343,304,73,7,39,31,33,2,9,0.239509
Victor Caratini,50,200,177,43,5,20,22,17,3,1,0.241055
Tyrone Taylor,78,336,308,72,10,42,40,19,6,8,0.233352
José Caballero,66,287,254,57,6,33,28,23,7,25,0.225179
Jeimer Candelario,120,518,466,113,20,61,68,40,8,4,0.242239
Ty France,100,434,385,100,11,48,48,30,14,1,0.258639
Andrew Benintendi,107,462,415,108,12,53,50,40,2,6,0.261019
Ramón Urías,53,231,209,53,6,26,27,17,4,1,0.254148
Ben Rortvedt,65,256,226,49,5,25,25,25,3,1,0.217705
Mauricio Dubón,81,350,327,87,6,40,36,16,3,4,0.264518
Masataka Yoshida,92,399,359,102,11,47,50,30,7,3,0.282644
Tyler Soderstrom,122,522,473,108,23,56,69,39,5,1,0.227614
Endy Rodríguez,86,352,318,78,8,41,39,28,3,2,0.246107
Miguel Andujar,79,343,319,86,8,38,38,20,2,4,0.271201
Kyle Stowers,107,462,412,95,17,51,58,39,7,2,0.23114
Roman Anthony,83,357,313,77,8,44,40,39,2,7,0.24543
Austin Hays,118,511,468,120,17,61,61,31,7,4,0.256266
Giancarlo Stanton,97,420,376,86,25,49,66,40,2,0,0.22905
Colson Montgomery,113,490,429,88,11,48,49,46,11,4,0.203849
Richie Palacios,78,336,289,70,6,41,33,39,5,11,0.240679
Eguy Rosario,70,301,270,62,10,35,37,25,3,7,0.230739
DJ LeMahieu,87,378,334,82,7,40,36,38,2,2,0.24552
Jose Miranda,89,385,355,95,10,42,47,22,5,2,0.267425
Dairon Blanco,49,210,189,49,4,31,23,15,4,27,0.258784
Drake Baldwin,53,211,187,44,5,24,24,21,3,1,0.235772
Juan Brito,66,287,251,58,6,31,30,30,3,4,0.231687
Gary Sánchez,63,257,227,49,10,28,32,24,4,0,0.216902
Johan Rojas,73,315,292,72,5,38,31,15,4,19,0.247226
Rhys Hoskins,131,567,496,110,26,67,77,60,6,3,0.222518
Josh Bell,134,581,514,129,20,64,70,58,4,1,0.250053
Luis Campusano,81,322,296,75,10,38,40,21,3,1,0.254213
Dane Myers,86,371,336,83,9,43,43,25,6,8,0.248142
Jake Fraley,104,448,398,101,12,51,51,42,5,19,0.254012
Seth Brown,78,336,308,73,15,36,45,24,2,4,0.237885
Alex Call,60,259,222,50,6,30,26,30,4,7,0.225789
Jordan Lawlar,52,224,200,47,5,27,24,19,4,7,0.234462
Javier Báez,79,343,320,75,9,37,38,16,4,7,0.23318
Trent Grisham,42,182,157,33,7,22,21,21,2,3,0.212013
Mitch Garver,78,323,279,57,12,33,36,37,4,0,0.20339
Kyle Teel,45,179,159,38,4,21,17,18,2,3,0.239506
Alex Verdugo,81,350,317,81,8,42,37,27,2,2,0.254745
Wenceel Pérez,87,378,342,82,7,44,39,31,3,9,0.239144
José Tena,75,322,298,76,7,34,35,18,2,7,0.253808
Blake Perkins,58,252,221,50,5,29,24,26,2,10,0.226902
Pedro Pagés,62,243,220,49,6,23,27,19,2,2,0.22482
Jose Iglesias,75,322,302,80,4,34,31,14,4,3,0.265208
Andy Pages,41,175,157,39,7,23,24,14,3,1,0.246749
Christian Encarnacion-Strand,84,364,334,86,16,45,55,23,5,2,0.257304
Oliver Dunn,71,308,272,57,7,33,31,31,3,7,0.208414
Yasmani Grandal,36,141,123,29,4,14,14,16,1,1,0.233233
Rob Refsnyder,50,217,189,49,6,26,26,22,4,2,0.260469
MJ Melendez,113,490,437,103,19,58,61,47,3,5,0.235405
Edgar Quero,39,154,136,32,4,15,17,14,2,1,0.236635
Will Brennan,53,231,214,59,4,24,24,13,2,5,0.27494
Derek Hill,63,273,251,63,7,32,31,16,2,7,0.252245
Agustin Ramirez,65,263,237,56,8,30,30,22,3,5,0.236808
Connor Joe,73,315,274,63,8,36,30,34,5,2,0.229699
Oswald Peraza,47,203,183,42,6,24,24,15,4,7,0.232535
Paul DeJong,79,343,313,66,14,36,39,21,5,2,0.21006
Jonah Bride,91,392,334,79,9,42,44,48,6,1,0.237726
Caleb Durbin,49,210,184,44,4,25,22,18,5,10,0.23759
Donovan Solano,83,357,323,82,6,33,32,25,7,1,0.252758
Mickey Moniak,68,294,275,64,11,33,36,14,3,5,0.233586
Taylor Walls,57,245,213,44,4,28,21,29,1,12,0.207523
Ramón Laureano,47,203,184,43,6,24,25,13,5,5,0.235526
Tyler Black,60,259,224,51,6,31,29,29,5,9,0.228979
Lenyn Sosa,71,308,289,72,9,32,36,14,2,2,0.249616
Alex Jackson,32,128,116,24,5,14,16,9,2,1,0.206374
Pavin Smith,78,336,294,73,10,40,41,37,2,2,0.248253
Jared Triolo,55,238,211,51,4,25,23,23,2,5,0.244153
Chris Taylor,66,287,252,56,7,33,30,29,3,6,0.220591
Angel Martínez,52,224,201,48,4,24,22,17,2,3,0.237418
Jason Heyward,79,343,309,70,10,38,39,28,4,4,0.228268
Brooks Baldwin,49,210,193,48,5,22,21,14,1,5,0.248612
Connor Wong,94,371,341,85,10,42,42,22,5,6,0.250213
Justin Turner,83,357,314,79,8,40,39,33,6,1,0.251866
Austin Hedges,49,192,173,32,3,16,16,11,3,2,0.186279
Austin Slater,52,224,195,46,5,26,20,24,3,5,0.234053
Carlos Narvaez,50,198,173,37,4,21,20,21,3,2,0.216138
Ryan Bliss,41,175,157,35,4,21,18,14,2,10,0.221296
Tyler Heineman,36,141,122,26,2,14,12,13,2,2,0.212641
Luis Torrens,40,160,146,33,5,16,18,11,1,1,0.22867
Edmundo Sosa,41,175,161,39,4,21,19,7,5,3,0.24558
Davis Schneider,45,196,169,37,7,23,22,23,2,2,0.218594
Jon Berti,42,182,164,40,3,21,16,15,2,8,0.244305
Gabriel Arias,34,147,135,33,4,16,16,9,2,4,0.242988
Esteury Ruiz,26,112,100,25,2,14,12,7,3,10,0.250353
Starling Marte,63,273,248,65,6,34,30,17,5,11,0.263518
Amed Rosario,49,210,198,53,3,23,21,9,2,6,0.265697
Chandler Simpson,26,112,102,29,1,15,10,8,0,11,0.284693
Nick Castellanos,147,637,588,150,22,74,84,38,6,6,0.255788
Enrique Hernández,68,294,267,62,8,33,34,22,2,1,0.230983
Rafael Marchán,36,141,125,29,3,15,14,12,3,1,0.234619
Jerar Encarnacion,84,364,328,79,14,40,48,30,2,3,0.24012
Victor Scott II,63,273,248,57,4,30,25,17,3,16,0.229647
Jake Mangum,36,154,144,38,2,17,16,7,2,4,0.264448
Coby Mayo,29,126,112,26,5,15,16,11,2,1,0.235744
Jorge Mateo,31,133,123,29,3,16,14,7,1,9,0.232807
Hunter Renfroe,86,371,336,80,13,41,45,30,2,1,0.237414
Jarred Kelenic,42,182,164,40,6,21,23,16,1,4,0.242231
Thomas Saggese,49,210,194,47,6,23,25,11,3,2,0.242255
Santiago Espinal,47,203,185,48,3,21,21,14,1,4,0.261268
Luis Matos,55,238,218,54,6,26,27,14,3,3,0.245827
Jhonkensy Noel,78,336,306,68,15,39,47,22,6,1,0.222689
Joey Gallo,53,231,195,35,11,26,26,33,2,2,0.178267
Jhonny Pereda,28,109,97,24,1,10,9,10,1,0,0.242911
Alan Roden,28,119,105,27,2,14,13,11,2,2,0.255181
Johnathan Rodriguez,34,147,132,32,5,17,18,13,1,1,0.244824
Tyler Freeman,24,105,92,23,2,13,11,7,4,3,0.253407
Cole Young,34,147,130,30,2,16,14,13,2,3,0.229457
Eloy Jiménez,44,189,174,46,6,20,24,13,1,1,0.263425
Orelvis Martinez,52,224,203,44,9,25,29,16,3,1,0.215958
Zach McKinstry,47,203,183,43,4,22,18,16,2,7,0.233257
Javier Sanoja,52,224,206,55,2,21,21,14,1,5,0.264288
Luisangel Acuña,39,168,156,39,3,21,16,10,1,8,0.246509
Brett Wisely,34,147,132,32,3,17,15,12,1,3,0.239547
Ezequiel Duran,39,168,157,39,4,18,19,9,2,3,0.249603
Tommy Pham,104,448,403,100,10,53,43,38,3,10,0.247648
Darell Hernaiz,26,112,102,26,2,12,11,7,1,2,0.252302
Ben Rice,34,144,125,28,7,18,20,15,2,2,0.225571
Miguel Rojas,26,112,103,26,2,12,11,7,1,2,0.255825
Addison Barger,26,112,100,24,3,13,13,10,1,1,0.239865
Colby Thomas,28,119,110,26,4,13,15,6,2,2,0.235528
Drew Romo,62,243,226,56,5,25,28,11,3,2,0.247371
Justyn-Henry Malloy,36,154,131,30,4,17,16,20,2,1,0.227637
Chase DeLauter,24,105,95,25,3,12,13,8,1,1,0.259246
Spencer Torkelson,47,203,178,40,8,25,25,21,2,1,0.224403
Jacob Melton,40,175,162,36,5,20,20,11,1,7,0.221082
David Fry,40,175,154,38,6,20,22,16,3,2,0.244106
Randal Grichuk,62,266,245,62,8,31,33,16,3,1,0.251827
Austin Barnes,36,141,125,27,2,14,12,13,2,2,0.21864
Joey Loperfido,42,182,164,37,5,21,21,13,3,4,0.224027
Nick Yorke,36,154,139,35,3,17,16,12,1,3,0.251432
Jack Suwinski,34,147,128,29,6,17,18,16,1,3,0.225199
Michael A. Taylor,39,168,153,33,5,18,16,12,1,5,0.215917
Ben Gamel,37,161,139,33,4,19,17,19,1,1,0.233407
Nick Loftin,29,126,112,28,2,14,13,11,1,2,0.247562
Liam Hicks,26,103,89,21,1,10,9,11,2,1,0.240564
James McCann,45,179,164,38,5,18,19,10,2,2,0.229032
Nick Allen,26,112,101,25,1,12,11,9,1,2,0.248927
Wilmer Flores,71,308,274,65,9,34,36,27,4,0,0.238188
Michael Toglia,131,567,502,114,26,69,75,58,3,8,0.226397
Will Benson,45,196,168,35,6,25,22,24,2,8,0.209955
