Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Jake Fraley,CIN,OF,FA,29,,,,,,,,,,,,,,,
Starling Marte,NYM,OF,FA,36,,,,,,,,,,,,,,,
Mike Tauchman,CHW,OF,FA,34,,,,,,,,,,,,,,,
Josh Smith,TEX,"3B,SS",FA,27,,,,,,,,,,,,,,,
Alejandro Kirk,TOR,C,FA,26,,,,,,,,,,,,,,,
Ty France,MIN,1B,FA,30,,,,,,,,,,,,,,,
Blake Perkins,MIL,OF,FA,28,,,,,,,,,,,,,,,
Jesse Winker,NYM,OF,FA,31,,,,,,,,,,,,,,,
Jared Triolo,PIT,"2B,3B",FA,27,,,,,,,,,,,,,,,
Noelvi Marte,CIN,3B,FA,23,,,,,,,,,,,,,,,
Harrison Bader,MIN,OF,FA,30,,,,,,,,,,,,,,,
Coby Mayo,BAL,3B,VLAD,23,,,,,,,,,,,,,,,
Griffin Conine,MIA,OF,FA,27,,,,,,,,,,,,,,,
Jose Miranda,MIN,3B,FA,26,,,,,,,,,,,,,,,
Oswaldo Cabrera,NYY,3B,FA,26,,,,,,,,,,,,,,,
Mauricio Dubon,HOU,"1B,2B,OF",FA,30,,,,,,,,,,,,,,,
Ernie Clement,TOR,"3B,SS",FA,28,,,,,,,,,,,,,,,
Derek Hill,MIA,OF,FA,29,,,,,,,,,,,,,,,
Daniel Schneemann,CLE,"SS,OF",FA,28,,,,,,,,,,,,,,,
Brooks Lee,MIN,SS,IRM,24,,,,,,,,,,,,,,,
Freddy Fermin,KC,C,FA,29,,,,,,,,,,,,,,,
Ramon Laureano,BAL,OF,FA,30,,,,,,,,,,,,,,,
Brendan Rodgers,HOU,2B,FA,28,,,,,,,,,,,,,,,
Joey Bart,PIT,C,FA,28,,,,,,,,,,,,,,,
David Hamilton,BOS,"2B,SS",FA,27,,,,,,,,,,,,,,,
Anthony Rizzo,(N/A),1B,FA,35,,,,,,,,,,,,,,,
Heston Kjerstad,BAL,UT,IRM,26,,,,,,,,,,,,,,,
Brandon Drury,CHW,2B,FA,32,,,,,,,,,,,,,,,
Wenceel Perez,DET,"OF,UT",FA,25,,,,,,,,,,,,,,,
Gavin Sheets,SD,"1B,OF",FA,28,,,,,,,,,,,,,,,
Max Kepler,PHI,OF,FA,32,,,,,,,,,,,,,,,
Geraldo Perdomo,ARI,SS,FA,25,,,,,,,,,,,,,,,
Eloy Jimenez,TB,UT,FA,28,,,,,,,,,,,,,,,
Leody Taveras,TEX,OF,FA,26,,,,,,,,,,,,,,,
Tyler Black,MIL,UT,FA,24,,,,,,,,,,,,,,,
Enrique Hernandez,LAD,"3B,OF",FA,33,,,,,,,,,,,,,,,
Richie Palacios,TB,"2B,OF",FA,27,,,,,,,,,,,,,,,
Jonah Bride,MIA,1B,FA,29,,,,,,,,,,,,,,,
Hunter Goodman,COL,"C,OF",FA,25,,,,,,,,,,,,,,,
Kyle Higashioka,TEX,C,FA,34,,,,,,,,,,,,,,,
Victor Scott,STL,OF,FA,24,,,,,,,,,,,,,,,
Mike Siani,STL,OF,FA,25,,,,,,,,,,,,,,,
Yoan Moncada,LAA,3B,FA,29,,,,,,,,,,,,,,,
Mark Canha,MIL,"1B,OF",FA,36,,,,,,,,,,,,,,,
Nick Fortes,MIA,C,FA,28,,,,,,,,,,,,,,,
Paul DeJong,WSH,"3B,SS",FA,31,,,,,,,,,,,,,,,
Connor Joe,SD,"1B,OF",FA,32,,,,,,,,,,,,,,,
